main_category,main_link
Media & Publishing,https://example.com/c/media_publishing
Money & Insurance,https://example.com/c/money_insurance
Money & Insurance,https://example.com/c/money_insurance
Money & Insurance,https://example.com/c/money_insurance
Money & Insurance,https://example.com/c/money_insurance
Money & Insurance,https://example.com/c/money_insurance
Money & Insurance,https://example.com/c/money_insurance
Money & Insurance,https://example.com/c/money_insurance
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Public & Local Services,https://example.com/c/public_local_services
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Restaurants & Bars,https://example.com/c/restaurants_bars
Shopping & Fashion,https://example.com/c/shopping_fashion
Shopping & Fashion,https://example.com/c/shopping_fashion
Shopping & Fashion,https://example.com/c/shopping_fashion
Shopping & Fashion,https://example.com/c/shopping_fashion
Shopping & Fashion,https://example.com/c/shopping_fashion
Shopping & Fashion,https://example.com/c/shopping_fashion
Shopping & Fashion,https://example.com/c/shopping_fashion
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
